,category_alias,category_title,poi_name,poi_distance,poi_address,poi_rating,free_bikes,station_lat,station_long
0,mexican,Mexican,Angela's Cafe - Orient Heights,40.67033565624939,1012 Bennington St,4.5,8.0,-71.006098,42.386781
1,breakfast_brunch,Breakfast & Brunch,Angela's Cafe - Orient Heights,40.67033565624939,1012 Bennington St,4.5,8.0,-71.006098,42.386781
2,italian,Italian,Luna's Restaurant Italian and Latin Cuisine,251.88124675968996,945 Saratoga St,4.5,8.0,-71.006098,42.386781
3,latin,Latin American,Luna's Restaurant Italian and Latin Cuisine,251.88124675968996,945 Saratoga St,4.5,8.0,-71.006098,42.386781
4,bars,Bars,Luna's Restaurant Italian and Latin Cuisine,251.88124675968996,945 Saratoga St,4.5,8.0,-71.006098,42.386781
5,pubs,Pubs,Renegade's Pub,57.613708249649314,1004 Bennington St,4.0,8.0,-71.006098,42.386781
6,burgers,Burgers,Renegade's Pub,57.613708249649314,1004 Bennington St,4.0,8.0,-71.006098,42.386781
7,chinese,Chinese,Little Asia Restaurant,94.50341617692204,991 Bennington St,4.0,8.0,-71.006098,42.386781
8,mexican,Mexican,Mi Pueblito Orient Heights,207.01529477233643,964 Saratoga St,3.5,8.0,-71.006098,42.386781
9,seafood,Seafood,Mi Pueblito Orient Heights,207.01529477233643,964 Saratoga St,3.5,8.0,-71.006098,42.386781
10,breakfast_brunch,Breakfast & Brunch,Mi Pueblito Orient Heights,207.01529477233643,964 Saratoga St,3.5,8.0,-71.006098,42.386781
11,vietnamese,Vietnamese,New Saigon,112.06742695749917,985 Bennington St,4.5,8.0,-71.006098,42.386781
12,sushi,Sushi Bars,Sunny Cafe,62.30875144784778,1000 Bennington St,4.5,8.0,-71.006098,42.386781
13,delis,Delis,Milano's Delicatessen,110.48043038957576,978 Saratoga St,4.0,8.0,-71.006098,42.386781
14,pizza,Pizza,Milano's Delicatessen,110.48043038957576,978 Saratoga St,4.0,8.0,-71.006098,42.386781
15,coffee,Coffee & Tea,Milano's Delicatessen,110.48043038957576,978 Saratoga St,4.0,8.0,-71.006098,42.386781
16,italian,Italian,Sammy Carlo's Delicatessen & Catering,1098.389168976247,567 Bennington St,4.5,8.0,-71.006098,42.386781
17,tradamerican,American,Sammy Carlo's Delicatessen & Catering,1098.389168976247,567 Bennington St,4.5,8.0,-71.006098,42.386781
18,delis,Delis,Sammy Carlo's Delicatessen & Catering,1098.389168976247,567 Bennington St,4.5,8.0,-71.006098,42.386781
19,seafood,Seafood,Royal Roast Beef & Seafood,412.3982411814177,752 Bennington St,4.0,8.0,-71.006098,42.386781
20,tradamerican,American,Royal Roast Beef & Seafood,412.3982411814177,752 Bennington St,4.0,8.0,-71.006098,42.386781
21,latin,Latin American,El Kiosco Restaurant,133.0895990866373,972 Saratoga St,4.0,8.0,-71.006098,42.386781
22,bars,Bars,El Kiosco Restaurant,133.0895990866373,972 Saratoga St,4.0,8.0,-71.006098,42.386781
