,id,name,short_name,plural_name,icon.prefix,icon.suffix,poi_fsq_id,poi_name,poi_distance,poi_location.address,free_bikes,station_lat,station_long
0,13018,Pub,Pub,Pubs,https://ss3.4sqi.net/img/categories_v2/nightlife/pub_,.png,591f852e5d891b595cb65504,Renegade's Pub,53,1004 Bennington St,8.0,-71.006098,42.386781
1,13000,Dining and Drinking,Dining and Drinking,Dining and Drinking,https://ss3.4sqi.net/img/categories_v2/food/default_,.png,591f852e5d891b595cb65504,Renegade's Pub,53,1004 Bennington St,8.0,-71.006098,42.386781
2,13068,American Restaurant,American,American Restaurants,https://ss3.4sqi.net/img/categories_v2/food/default_,.png,4baf64acf964a52083fc3be3,Donna's Restaurant,93,980 Saratoga St,8.0,-71.006098,42.386781
3,13102,Cantonese Restaurant,Cantonese,Cantonese Restaurants,https://ss3.4sqi.net/img/categories_v2/food/asian_,.png,4b415414f964a5206ec525e3,Little Asia,92,991 Bennington St,8.0,-71.006098,42.386781
4,17076,Liquor Store,Liquor Store,Liquor Stores,https://ss3.4sqi.net/img/categories_v2/shops/food_liquor_,.png,4d3b919584d46ea85b34f65c,Woody's Liquors,94,1035 Saratoga St,8.0,-71.006098,42.386781
5,16003,Beach,Beach,Beaches,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/beach_,.png,4bda1e122a3a0f47d8dfa9b6,Constitution Beach,322,799 Bennington St,8.0,-71.006098,42.386781
6,13068,American Restaurant,American,American Restaurants,https://ss3.4sqi.net/img/categories_v2/food/default_,.png,4b425449f964a520b1d125e3,Royal Roast Beef & Seafood,401,752 Bennington St,8.0,-71.006098,42.386781
7,13145,Fast Food Restaurant,Fast Food,Fast Food Restaurants,https://ss3.4sqi.net/img/categories_v2/food/fastfood_,.png,4b425449f964a520b1d125e3,Royal Roast Beef & Seafood,401,752 Bennington St,8.0,-71.006098,42.386781
8,13338,Seafood Restaurant,Seafood,Seafood Restaurants,https://ss3.4sqi.net/img/categories_v2/food/seafood_,.png,4b425449f964a520b1d125e3,Royal Roast Beef & Seafood,401,752 Bennington St,8.0,-71.006098,42.386781
9,13039,Deli,Deli,Delis,https://ss3.4sqi.net/img/categories_v2/food/deli_,.png,56991cb0498e34950d8abc44,Subway,270,948 Bennington St,8.0,-71.006098,42.386781
10,13145,Fast Food Restaurant,Fast Food,Fast Food Restaurants,https://ss3.4sqi.net/img/categories_v2/food/fastfood_,.png,56991cb0498e34950d8abc44,Subway,270,948 Bennington St,8.0,-71.006098,42.386781
11,17035,Drugstore,Drugstore,Drugstores,https://ss3.4sqi.net/img/categories_v2/shops/pharmacy_,.png,4bb8d4e47421a5930a28c240,CVS Pharmacy,623,1150 Saratoga St,8.0,-71.006098,42.386781
12,13064,Pizzeria,Pizza,Pizzerias,https://ss3.4sqi.net/img/categories_v2/food/pizza_,.png,4cf09475899c6ea8f9adebc1,Domino's Pizza,534,1144 Saratoga St,8.0,-71.006098,42.386781
13,13145,Fast Food Restaurant,Fast Food,Fast Food Restaurants,https://ss3.4sqi.net/img/categories_v2/food/fastfood_,.png,4cf09475899c6ea8f9adebc1,Domino's Pizza,534,1144 Saratoga St,8.0,-71.006098,42.386781
14,13035,Coffee Shop,Coffee Shop,Coffee Shops,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,.png,4bb763a3941ad13a299520e3,Starbucks,824,430 William F McClellan Hwy,8.0,-71.006098,42.386781
15,13305,Burrito Restaurant,Burritos,Burrito Restaurants,https://ss3.4sqi.net/img/categories_v2/food/burrito_,.png,4b38f541f964a5200a5325e3,Cactus Mexican Grill,141,44 Maverick Sq,9.0,-71.03977829217911,42.36884408289836
16,13306,Taco Restaurant,Tacos,Taco Restaurants,https://ss3.4sqi.net/img/categories_v2/food/taco_,.png,4b38f541f964a5200a5325e3,Cactus Mexican Grill,141,44 Maverick Sq,9.0,-71.03977829217911,42.36884408289836
17,13333,Salvadoran Restaurant,Salvadoran,Salvadoran Restaurants,https://ss3.4sqi.net/img/categories_v2/food/latinamerican_,.png,4b38f541f964a5200a5325e3,Cactus Mexican Grill,141,44 Maverick Sq,9.0,-71.03977829217911,42.36884408289836
18,16032,Park,Park,Parks,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_,.png,4f318f72e4b0d8fc0a5d3168,East Boston Greenway,226,Bremen St,9.0,-71.03977829217911,42.36884408289836
19,13006,Beer Bar,Beer Bar,Beer Bars,https://ss3.4sqi.net/img/categories_v2/nightlife/pub_,.png,5955758adec1d63ee666589e,Cunard Tavern,194,24 Orleans St,9.0,-71.03977829217911,42.36884408289836
20,13057,Gastropub,Gastropub,Gastropubs,https://ss3.4sqi.net/img/categories_v2/food/gastropub_,.png,5955758adec1d63ee666589e,Cunard Tavern,194,24 Orleans St,9.0,-71.03977829217911,42.36884408289836
21,13068,American Restaurant,American,American Restaurants,https://ss3.4sqi.net/img/categories_v2/food/default_,.png,5955758adec1d63ee666589e,Cunard Tavern,194,24 Orleans St,9.0,-71.03977829217911,42.36884408289836
22,13035,Coffee Shop,Coffee Shop,Coffee Shops,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,.png,594e86e1d1a40209d0febf56,Toasted Flats,335,53 Chelsea St,9.0,-71.03977829217911,42.36884408289836
23,13334,Sandwich Spot,Sandwich Spot,Sandwich Spots,https://ss3.4sqi.net/img/categories_v2/food/deli_,.png,594e86e1d1a40209d0febf56,Toasted Flats,335,53 Chelsea St,9.0,-71.03977829217911,42.36884408289836
