,alias,title,poi_id,poi_name,poi_distance,poi_location.address1,poi_rating,free_bikes,station_lat,station_long
0,mexican,Mexican,gjWtb3F23YxfYvRHWbvWWA,Angela's Cafe - Orient Heights,40.67033565624939,1012 Bennington St,4.5,8.0,-71.006098,42.386781
1,breakfast_brunch,Breakfast & Brunch,gjWtb3F23YxfYvRHWbvWWA,Angela's Cafe - Orient Heights,40.67033565624939,1012 Bennington St,4.5,8.0,-71.006098,42.386781
2,chinese,Chinese,nwU1tKh-D68B7Z44DbDwXg,Little Asia Restaurant,94.50341617692204,991 Bennington St,4.0,8.0,-71.006098,42.386781
3,italian,Italian,Zm29bLI2eYCevnse4n2U1g,Luna's Restaurant Italian and Latin Cuisine,251.88124675968993,945 Saratoga St,4.5,8.0,-71.006098,42.386781
4,latin,Latin American,Zm29bLI2eYCevnse4n2U1g,Luna's Restaurant Italian and Latin Cuisine,251.88124675968993,945 Saratoga St,4.5,8.0,-71.006098,42.386781
5,bars,Bars,Zm29bLI2eYCevnse4n2U1g,Luna's Restaurant Italian and Latin Cuisine,251.88124675968993,945 Saratoga St,4.5,8.0,-71.006098,42.386781
6,pubs,Pubs,CJ0DuAPIract7wPMWgsXbg,Renegade's Pub,57.613708249649314,1004 Bennington St,4.0,8.0,-71.006098,42.386781
7,burgers,Burgers,CJ0DuAPIract7wPMWgsXbg,Renegade's Pub,57.613708249649314,1004 Bennington St,4.0,8.0,-71.006098,42.386781
8,mexican,Mexican,tVhXK2l9iMwTqkeWDWDiTQ,Mi Pueblito Orient Heights,207.01529477233643,964 Saratoga St,3.5,8.0,-71.006098,42.386781
9,seafood,Seafood,tVhXK2l9iMwTqkeWDWDiTQ,Mi Pueblito Orient Heights,207.01529477233643,964 Saratoga St,3.5,8.0,-71.006098,42.386781
10,breakfast_brunch,Breakfast & Brunch,tVhXK2l9iMwTqkeWDWDiTQ,Mi Pueblito Orient Heights,207.01529477233643,964 Saratoga St,3.5,8.0,-71.006098,42.386781
11,vietnamese,Vietnamese,7GuI717B8NCEiKB5VVpOZg,New Saigon,112.06742695749917,985 Bennington St,4.5,8.0,-71.006098,42.386781
12,delis,Delis,RigU2n4W4NCl3bdPgRdd6A,Milano's Delicatessen,110.48043038957576,978 Saratoga St,4.0,8.0,-71.006098,42.386781
13,pizza,Pizza,RigU2n4W4NCl3bdPgRdd6A,Milano's Delicatessen,110.48043038957576,978 Saratoga St,4.0,8.0,-71.006098,42.386781
14,coffee,Coffee & Tea,RigU2n4W4NCl3bdPgRdd6A,Milano's Delicatessen,110.48043038957576,978 Saratoga St,4.0,8.0,-71.006098,42.386781
15,sushi,Sushi Bars,C3-m3wOZfYp7tNqKyHUcGQ,Sunny Cafe,62.30875144784778,1000 Bennington St,4.5,8.0,-71.006098,42.386781
16,italian,Italian,vSFwSQtaWAcGA166_HOQAg,Sammy Carlo's Delicatessen & Catering,1098.389168976247,567 Bennington St,4.5,8.0,-71.006098,42.386781
17,tradamerican,American,vSFwSQtaWAcGA166_HOQAg,Sammy Carlo's Delicatessen & Catering,1098.389168976247,567 Bennington St,4.5,8.0,-71.006098,42.386781
18,delis,Delis,vSFwSQtaWAcGA166_HOQAg,Sammy Carlo's Delicatessen & Catering,1098.389168976247,567 Bennington St,4.5,8.0,-71.006098,42.386781
